DIV_NAME,SCHOOL_YEAR,AvgOfAVG_SOL_SCALE_SCORE,Subject
Accomack County,2011-2012,473.33,English (Reading)
Accomack County,2012-2013,428.54,English (Reading)
Accomack County,2013-2014,429.95,English (Reading)
Accomack County,2014-2015,426.95,English (Reading)
Accomack County,2015-2016,431.27,English (Reading)
Accomack County,2011-2012,464.35,English (Writing)
Accomack County,2012-2013,455.43,English (Writing)
Accomack County,2013-2014,439.42,English (Writing)
Accomack County,2014-2015,435.27,English (Writing)
Accomack County,2015-2016,434.7,English (Writing)
Accomack County,2011-2012,454.3,History
Accomack County,2012-2013,427.51,History
Accomack County,2013-2014,449.65,History
Accomack County,2014-2015,443.84,History
Accomack County,2015-2016,440.25,History
Accomack County,2011-2012,418.32,Math
Accomack County,2012-2013,427.6,Math
Accomack County,2013-2014,425.33,Math
Accomack County,2014-2015,426.14,Math
Accomack County,2015-2016,422.73,Math
Accomack County,2011-2012,456.77,Science
Accomack County,2012-2013,430.15,Science
Accomack County,2013-2014,430.3,Science
Accomack County,2014-2015,430.41,Science
Accomack County,2015-2016,426.06,Science
Albemarle County,2011-2012,485.76,English (Reading)
Albemarle County,2012-2013,438.96,English (Reading)
Albemarle County,2013-2014,437.48,English (Reading)
Albemarle County,2014-2015,435.97,English (Reading)
Albemarle County,2015-2016,433.09,English (Reading)
Albemarle County,2011-2012,476.03,English (Writing)
Albemarle County,2012-2013,456.45,English (Writing)
Albemarle County,2013-2014,446.72,English (Writing)
Albemarle County,2014-2015,450.61,English (Writing)
Albemarle County,2015-2016,443.71,English (Writing)
Albemarle County,2011-2012,464.55,History
Albemarle County,2012-2013,442.96,History
Albemarle County,2013-2014,450.71,History
Albemarle County,2014-2015,446.92,History
Albemarle County,2015-2016,445.65,History
Albemarle County,2011-2012,443.47,Math
Albemarle County,2012-2013,439.71,Math
Albemarle County,2013-2014,443,Math
Albemarle County,2014-2015,439.15,Math
Albemarle County,2015-2016,438.11,Math
Albemarle County,2011-2012,461.38,Science
Albemarle County,2012-2013,435.36,Science
Albemarle County,2013-2014,436.52,Science
Albemarle County,2014-2015,431.36,Science
Albemarle County,2015-2016,432.49,Science
Alexandria City,2011-2012,467.38,English (Reading)
Alexandria City,2012-2013,426.78,English (Reading)
Alexandria City,2013-2014,424.15,English (Reading)
Alexandria City,2014-2015,419.86,English (Reading)
Alexandria City,2015-2016,422.67,English (Reading)
Alexandria City,2011-2012,463.59,English (Writing)
Alexandria City,2012-2013,437.5,English (Writing)
Alexandria City,2013-2014,432.85,English (Writing)
Alexandria City,2014-2015,431.72,English (Writing)
Alexandria City,2015-2016,431.31,English (Writing)
Alexandria City,2011-2012,447.43,History
Alexandria City,2012-2013,430.58,History
Alexandria City,2013-2014,448.27,History
Alexandria City,2014-2015,445.82,History
Alexandria City,2015-2016,448.73,History
Alexandria City,2011-2012,411.81,Math
Alexandria City,2012-2013,415.13,Math
Alexandria City,2013-2014,416.74,Math
Alexandria City,2014-2015,418.94,Math
Alexandria City,2015-2016,416.97,Math
Alexandria City,2011-2012,442.18,Science
Alexandria City,2012-2013,417.51,Science
Alexandria City,2013-2014,416.52,Science
Alexandria City,2014-2015,420.22,Science
Alexandria City,2015-2016,423.44,Science
Alleghany County,2011-2012,475.16,English (Reading)
Alleghany County,2012-2013,422.59,English (Reading)
Alleghany County,2013-2014,425.38,English (Reading)
Alleghany County,2014-2015,424.64,English (Reading)
Alleghany County,2015-2016,427.43,English (Reading)
Alleghany County,2011-2012,484.33,English (Writing)
Alleghany County,2012-2013,442.84,English (Writing)
Alleghany County,2013-2014,441.6,English (Writing)
Alleghany County,2014-2015,428.95,English (Writing)
Alleghany County,2015-2016,436.52,English (Writing)
Alleghany County,2011-2012,450.42,History
Alleghany County,2012-2013,432.68,History
Alleghany County,2013-2014,445.13,History
Alleghany County,2014-2015,453.09,History
Alleghany County,2015-2016,457.3,History
Alleghany County,2011-2012,417.24,Math
Alleghany County,2012-2013,423.24,Math
Alleghany County,2013-2014,423.26,Math
Alleghany County,2014-2015,433.47,Math
Alleghany County,2015-2016,432.38,Math
Alleghany County,2011-2012,452.12,Science
Alleghany County,2012-2013,428.14,Science
Alleghany County,2013-2014,422.05,Science
Alleghany County,2014-2015,428.66,Science
Alleghany County,2015-2016,425.85,Science
Amelia County,2011-2012,477.14,English (Reading)
Amelia County,2012-2013,424.44,English (Reading)
Amelia County,2013-2014,434.4,English (Reading)
Amelia County,2014-2015,436.83,English (Reading)
Amelia County,2015-2016,444.12,English (Reading)
Amelia County,2011-2012,446,English (Writing)
Amelia County,2012-2013,430.38,English (Writing)
Amelia County,2013-2014,434.33,English (Writing)
Amelia County,2014-2015,429.14,English (Writing)
Amelia County,2015-2016,417.16,English (Writing)
Amelia County,2011-2012,448.71,History
Amelia County,2012-2013,443.41,History
Amelia County,2013-2014,448.45,History
Amelia County,2014-2015,450.16,History
Amelia County,2015-2016,447.27,History
Amelia County,2011-2012,421.77,Math
Amelia County,2012-2013,412.44,Math
Amelia County,2013-2014,417.11,Math
Amelia County,2014-2015,426.11,Math
Amelia County,2015-2016,434.6,Math
Amelia County,2011-2012,447.42,Science
Amelia County,2012-2013,423.16,Science
Amelia County,2013-2014,424.53,Science
Amelia County,2014-2015,425.81,Science
Amelia County,2015-2016,425.08,Science
Amherst County,2011-2012,464.18,English (Reading)
Amherst County,2012-2013,420.58,English (Reading)
Amherst County,2013-2014,421.3,English (Reading)
Amherst County,2014-2015,427.25,English (Reading)
Amherst County,2015-2016,425.54,English (Reading)
Amherst County,2011-2012,451.84,English (Writing)
Amherst County,2012-2013,426.72,English (Writing)
Amherst County,2013-2014,427.84,English (Writing)
Amherst County,2014-2015,426.09,English (Writing)
Amherst County,2015-2016,427.84,English (Writing)
Amherst County,2011-2012,439.53,History
Amherst County,2012-2013,415.59,History
Amherst County,2013-2014,441.4,History
Amherst County,2014-2015,448.04,History
Amherst County,2015-2016,444.97,History
Amherst County,2011-2012,408.86,Math
Amherst County,2012-2013,409.65,Math
Amherst County,2013-2014,424.88,Math
Amherst County,2014-2015,427.18,Math
Amherst County,2015-2016,419.64,Math
Amherst County,2011-2012,459.88,Science
Amherst County,2012-2013,435.47,Science
Amherst County,2013-2014,438.49,Science
Amherst County,2014-2015,437.15,Science
Amherst County,2015-2016,433.67,Science
Appomattox County,2011-2012,472.04,English (Reading)
Appomattox County,2012-2013,429.88,English (Reading)
Appomattox County,2013-2014,434.43,English (Reading)
Appomattox County,2014-2015,437.3,English (Reading)
Appomattox County,2015-2016,431.28,English (Reading)
Appomattox County,2011-2012,458.63,English (Writing)
Appomattox County,2012-2013,447.01,English (Writing)
Appomattox County,2013-2014,444.44,English (Writing)
Appomattox County,2014-2015,440.33,English (Writing)
Appomattox County,2015-2016,430.73,English (Writing)
Appomattox County,2011-2012,456.07,History
Appomattox County,2012-2013,443.09,History
Appomattox County,2013-2014,463.54,History
Appomattox County,2014-2015,454.08,History
Appomattox County,2015-2016,449.96,History
Appomattox County,2011-2012,410.96,Math
Appomattox County,2012-2013,410.95,Math
Appomattox County,2013-2014,414.19,Math
Appomattox County,2014-2015,423.2,Math
Appomattox County,2015-2016,445.48,Math
Appomattox County,2011-2012,458.91,Science
Appomattox County,2012-2013,435.48,Science
Appomattox County,2013-2014,430.47,Science
Appomattox County,2014-2015,434.6,Science
Appomattox County,2015-2016,434.29,Science
Arlington County,2011-2012,481.27,English (Reading)
Arlington County,2012-2013,432.25,English (Reading)
Arlington County,2013-2014,436.72,English (Reading)
Arlington County,2014-2015,435.55,English (Reading)
Arlington County,2015-2016,437.15,English (Reading)
Arlington County,2011-2012,480.07,English (Writing)
Arlington County,2012-2013,463.77,English (Writing)
Arlington County,2013-2014,451.11,English (Writing)
Arlington County,2014-2015,455.82,English (Writing)
Arlington County,2015-2016,453.69,English (Writing)
Arlington County,2011-2012,463.47,History
Arlington County,2012-2013,434.26,History
Arlington County,2013-2014,458.55,History
Arlington County,2014-2015,460.34,History
Arlington County,2015-2016,455.92,History
Arlington County,2011-2012,437.82,Math
Arlington County,2012-2013,440.14,Math
Arlington County,2013-2014,441.36,Math
Arlington County,2014-2015,447.67,Math
Arlington County,2015-2016,443.06,Math
Arlington County,2011-2012,455.89,Science
Arlington County,2012-2013,434.3,Science
Arlington County,2013-2014,437.75,Science
Arlington County,2014-2015,439.7,Science
Arlington County,2015-2016,437.57,Science
Augusta County,2011-2012,481.39,English (Reading)
Augusta County,2012-2013,429.38,English (Reading)
Augusta County,2013-2014,430.07,English (Reading)
Augusta County,2014-2015,427.4,English (Reading)
Augusta County,2015-2016,428.36,English (Reading)
Augusta County,2011-2012,469.78,English (Writing)
Augusta County,2012-2013,458.51,English (Writing)
Augusta County,2013-2014,442.85,English (Writing)
Augusta County,2014-2015,439.98,English (Writing)
Augusta County,2015-2016,439.51,English (Writing)
Augusta County,2011-2012,466.03,History
Augusta County,2012-2013,447.47,History
Augusta County,2013-2014,458.51,History
Augusta County,2014-2015,458.23,History
Augusta County,2015-2016,459.54,History
Augusta County,2011-2012,428.95,Math
Augusta County,2012-2013,434.6,Math
Augusta County,2013-2014,433.9,Math
Augusta County,2014-2015,438.51,Math
Augusta County,2015-2016,444.21,Math
Augusta County,2011-2012,457.48,Science
Augusta County,2012-2013,436.2,Science
Augusta County,2013-2014,436.5,Science
Augusta County,2014-2015,438.54,Science
Augusta County,2015-2016,442.59,Science
Bath County,2011-2012,485.47,English (Reading)
Bath County,2012-2013,434.67,English (Reading)
Bath County,2013-2014,450.32,English (Reading)
Bath County,2014-2015,438.35,English (Reading)
Bath County,2015-2016,438.24,English (Reading)
Bath County,2011-2012,477.42,English (Writing)
Bath County,2012-2013,447.1,English (Writing)
Bath County,2013-2014,458.48,English (Writing)
Bath County,2014-2015,448.03,English (Writing)
Bath County,2015-2016,438.15,English (Writing)
Bath County,2011-2012,453.22,History
Bath County,2012-2013,438.91,History
Bath County,2013-2014,453.17,History
Bath County,2014-2015,440.44,History
Bath County,2015-2016,451.19,History
Bath County,2011-2012,412.87,Math
Bath County,2012-2013,428.52,Math
Bath County,2013-2014,442.13,Math
Bath County,2014-2015,440.36,Math
Bath County,2015-2016,440.37,Math
Bath County,2011-2012,451.48,Science
Bath County,2012-2013,422.82,Science
Bath County,2013-2014,431.73,Science
Bath County,2014-2015,423.65,Science
Bath County,2015-2016,432.73,Science
Bedford County,2011-2012,474.57,English (Reading)
Bedford County,2012-2013,434.34,English (Reading)
Bedford County,2013-2014,430.11,English (Reading)
Bedford County,2014-2015,433.75,English (Reading)
Bedford County,2015-2016,433.39,English (Reading)
Bedford County,2011-2012,464.86,English (Writing)
Bedford County,2012-2013,447.29,English (Writing)
Bedford County,2013-2014,438.22,English (Writing)
Bedford County,2014-2015,447.73,English (Writing)
Bedford County,2015-2016,448.68,English (Writing)
Bedford County,2011-2012,448.33,History
Bedford County,2012-2013,430.26,History
Bedford County,2013-2014,446.68,History
Bedford County,2014-2015,448.58,History
Bedford County,2015-2016,451.05,History
Bedford County,2011-2012,405.35,Math
Bedford County,2012-2013,402.91,Math
Bedford County,2013-2014,419.22,Math
Bedford County,2014-2015,425.85,Math
Bedford County,2015-2016,428.14,Math
Bedford County,2011-2012,445.94,Science
Bedford County,2012-2013,422.93,Science
Bedford County,2013-2014,425.26,Science
Bedford County,2014-2015,429.28,Science
Bedford County,2015-2016,427.34,Science
Bland County,2011-2012,486.12,English (Reading)
Bland County,2012-2013,438.47,English (Reading)
Bland County,2013-2014,443.75,English (Reading)
Bland County,2014-2015,440.68,English (Reading)
Bland County,2015-2016,442.96,English (Reading)
Bland County,2011-2012,460.12,English (Writing)
Bland County,2012-2013,446.63,English (Writing)
Bland County,2013-2014,449.27,English (Writing)
Bland County,2014-2015,455.04,English (Writing)
Bland County,2015-2016,434.92,English (Writing)
Bland County,2011-2012,468.49,History
Bland County,2012-2013,449.97,History
Bland County,2013-2014,462.92,History
Bland County,2014-2015,452.7,History
Bland County,2015-2016,462.57,History
Bland County,2011-2012,408.87,Math
Bland County,2012-2013,418.62,Math
Bland County,2013-2014,426.45,Math
Bland County,2014-2015,434.71,Math
Bland County,2015-2016,453.69,Math
Bland County,2011-2012,458.51,Science
Bland County,2012-2013,433.59,Science
Bland County,2013-2014,429.45,Science
Bland County,2014-2015,434.62,Science
Bland County,2015-2016,438.08,Science
Botetourt County,2011-2012,485.42,English (Reading)
Botetourt County,2012-2013,434.5,English (Reading)
Botetourt County,2013-2014,427.69,English (Reading)
Botetourt County,2014-2015,438.99,English (Reading)
Botetourt County,2015-2016,435.96,English (Reading)
Botetourt County,2011-2012,472.69,English (Writing)
Botetourt County,2012-2013,462.5,English (Writing)
Botetourt County,2013-2014,438.82,English (Writing)
Botetourt County,2014-2015,452.08,English (Writing)
Botetourt County,2015-2016,450.9,English (Writing)
Botetourt County,2011-2012,477.8,History
Botetourt County,2012-2013,452.35,History
Botetourt County,2013-2014,473.91,History
Botetourt County,2014-2015,480.46,History
Botetourt County,2015-2016,468.46,History
Botetourt County,2011-2012,428.12,Math
Botetourt County,2012-2013,427.01,Math
Botetourt County,2013-2014,439.34,Math
Botetourt County,2014-2015,444.76,Math
Botetourt County,2015-2016,449.01,Math
Botetourt County,2011-2012,454.18,Science
Botetourt County,2012-2013,437.54,Science
Botetourt County,2013-2014,432.1,Science
Botetourt County,2014-2015,441.03,Science
Botetourt County,2015-2016,438.17,Science
Bristol City,2011-2012,489.7,English (Reading)
Bristol City,2012-2013,432.23,English (Reading)
Bristol City,2013-2014,435.56,English (Reading)
Bristol City,2014-2015,435.54,English (Reading)
Bristol City,2015-2016,437.38,English (Reading)
Bristol City,2011-2012,489.43,English (Writing)
Bristol City,2012-2013,452.91,English (Writing)
Bristol City,2013-2014,456.1,English (Writing)
Bristol City,2014-2015,451.53,English (Writing)
Bristol City,2015-2016,454.07,English (Writing)
Bristol City,2011-2012,463.36,History
Bristol City,2012-2013,438.97,History
Bristol City,2013-2014,453.54,History
Bristol City,2014-2015,457.34,History
Bristol City,2015-2016,452.15,History
Bristol City,2011-2012,425.8,Math
Bristol City,2012-2013,433.45,Math
Bristol City,2013-2014,439.35,Math
Bristol City,2014-2015,443.11,Math
Bristol City,2015-2016,437.2,Math
Bristol City,2011-2012,456.42,Science
Bristol City,2012-2013,434.37,Science
Bristol City,2013-2014,438.18,Science
Bristol City,2014-2015,435.33,Science
Bristol City,2015-2016,433.8,Science
Brunswick County,2011-2012,462.52,English (Reading)
Brunswick County,2012-2013,426.39,English (Reading)
Brunswick County,2013-2014,420.05,English (Reading)
Brunswick County,2014-2015,424.91,English (Reading)
Brunswick County,2015-2016,418.93,English (Reading)
Brunswick County,2011-2012,454.16,English (Writing)
Brunswick County,2012-2013,447.93,English (Writing)
Brunswick County,2013-2014,422.56,English (Writing)
Brunswick County,2014-2015,428.59,English (Writing)
Brunswick County,2015-2016,417.74,English (Writing)
Brunswick County,2011-2012,438.67,History
Brunswick County,2012-2013,428.31,History
Brunswick County,2013-2014,432.81,History
Brunswick County,2014-2015,444.32,History
Brunswick County,2015-2016,435.25,History
Brunswick County,2011-2012,395.27,Math
Brunswick County,2012-2013,399.42,Math
Brunswick County,2013-2014,410.41,Math
Brunswick County,2014-2015,391.88,Math
Brunswick County,2015-2016,409.48,Math
Brunswick County,2011-2012,428.55,Science
Brunswick County,2012-2013,401.43,Science
Brunswick County,2013-2014,411.36,Science
Brunswick County,2014-2015,400.91,Science
Brunswick County,2015-2016,416.21,Science
Buchanan County,2011-2012,473.53,English (Reading)
Buchanan County,2012-2013,428.27,English (Reading)
Buchanan County,2013-2014,436.79,English (Reading)
Buchanan County,2014-2015,429.36,English (Reading)
Buchanan County,2015-2016,434.58,English (Reading)
Buchanan County,2011-2012,457.5,English (Writing)
Buchanan County,2012-2013,438.2,English (Writing)
Buchanan County,2013-2014,431.91,English (Writing)
Buchanan County,2014-2015,427.82,English (Writing)
Buchanan County,2015-2016,431.55,English (Writing)
Buchanan County,2011-2012,444.64,History
Buchanan County,2012-2013,432.26,History
Buchanan County,2013-2014,444.44,History
Buchanan County,2014-2015,447.22,History
Buchanan County,2015-2016,450.04,History
Buchanan County,2011-2012,415.87,Math
Buchanan County,2012-2013,420.78,Math
Buchanan County,2013-2014,413.65,Math
Buchanan County,2014-2015,423.82,Math
Buchanan County,2015-2016,435.6,Math
Buchanan County,2011-2012,449.82,Science
Buchanan County,2012-2013,423.57,Science
Buchanan County,2013-2014,430.23,Science
Buchanan County,2014-2015,433.23,Science
Buchanan County,2015-2016,429.39,Science
Buckingham County,2011-2012,465.93,English (Reading)
Buckingham County,2012-2013,434.06,English (Reading)
Buckingham County,2013-2014,431.02,English (Reading)
Buckingham County,2014-2015,428.47,English (Reading)
Buckingham County,2015-2016,427.95,English (Reading)
Buckingham County,2011-2012,454.18,English (Writing)
Buckingham County,2012-2013,442.05,English (Writing)
Buckingham County,2013-2014,442.04,English (Writing)
Buckingham County,2014-2015,436.58,English (Writing)
Buckingham County,2015-2016,434.86,English (Writing)
Buckingham County,2011-2012,459.64,History
Buckingham County,2012-2013,430.91,History
Buckingham County,2013-2014,455,History
Buckingham County,2014-2015,448.35,History
Buckingham County,2015-2016,451.76,History
Buckingham County,2011-2012,421.04,Math
Buckingham County,2012-2013,417.48,Math
Buckingham County,2013-2014,427.43,Math
Buckingham County,2014-2015,429.72,Math
Buckingham County,2015-2016,432.22,Math
Buckingham County,2011-2012,455.76,Science
Buckingham County,2012-2013,426.6,Science
Buckingham County,2013-2014,427.67,Science
Buckingham County,2014-2015,430.13,Science
Buckingham County,2015-2016,424.28,Science
Buena Vista City,2011-2012,485.22,English (Reading)
Buena Vista City,2012-2013,437.83,English (Reading)
Buena Vista City,2013-2014,439.75,English (Reading)
Buena Vista City,2014-2015,432.51,English (Reading)
Buena Vista City,2015-2016,432.58,English (Reading)
Buena Vista City,2011-2012,471.07,English (Writing)
Buena Vista City,2012-2013,452.96,English (Writing)
Buena Vista City,2013-2014,448.69,English (Writing)
Buena Vista City,2014-2015,429.64,English (Writing)
Buena Vista City,2015-2016,442.32,English (Writing)
Buena Vista City,2011-2012,437.29,History
Buena Vista City,2012-2013,446.23,History
Buena Vista City,2013-2014,436.48,History
Buena Vista City,2014-2015,430.94,History
Buena Vista City,2015-2016,437.44,History
Buena Vista City,2011-2012,401.02,Math
Buena Vista City,2012-2013,403.06,Math
Buena Vista City,2013-2014,407.52,Math
Buena Vista City,2014-2015,408.1,Math
Buena Vista City,2015-2016,421.05,Math
Buena Vista City,2011-2012,464.75,Science
Buena Vista City,2012-2013,434.83,Science
Buena Vista City,2013-2014,423.28,Science
Buena Vista City,2014-2015,437.33,Science
Buena Vista City,2015-2016,435.16,Science
Campbell County,2011-2012,477.53,English (Reading)
Campbell County,2012-2013,436.79,English (Reading)
Campbell County,2013-2014,435.6,English (Reading)
Campbell County,2014-2015,430.03,English (Reading)
Campbell County,2015-2016,425.5,English (Reading)
Campbell County,2011-2012,469.83,English (Writing)
Campbell County,2012-2013,449.1,English (Writing)
Campbell County,2013-2014,441.73,English (Writing)
Campbell County,2014-2015,434.21,English (Writing)
Campbell County,2015-2016,433.21,English (Writing)
Campbell County,2011-2012,448.96,History
Campbell County,2012-2013,445.48,History
Campbell County,2013-2014,449.52,History
Campbell County,2014-2015,451.5,History
Campbell County,2015-2016,448.02,History
