"DIV_NAME","SCHOOL_YEAR","AvgOfAVG_SOL_SCALE_SCORE"
,"2011-2012",460.77
,"2012-2013",421.19
,"2013-2014",422.55
,"2014-2015",421.73
,"2015-2016",421.86
"Accomack County","2011-2012",473.33
"Accomack County","2012-2013",428.54
"Accomack County","2013-2014",429.95
"Accomack County","2014-2015",426.95
"Accomack County","2015-2016",431.27
"Albemarle County","2011-2012",485.76
"Albemarle County","2012-2013",438.96
"Albemarle County","2013-2014",437.48
"Albemarle County","2014-2015",435.97
"Albemarle County","2015-2016",433.09
"Alexandria City","2011-2012",467.38
"Alexandria City","2012-2013",426.78
"Alexandria City","2013-2014",424.15
"Alexandria City","2014-2015",419.86
"Alexandria City","2015-2016",422.67
"Alleghany County","2011-2012",475.16
"Alleghany County","2012-2013",422.59
"Alleghany County","2013-2014",425.38
"Alleghany County","2014-2015",424.64
"Alleghany County","2015-2016",427.43
"Amelia County","2011-2012",477.14
"Amelia County","2012-2013",424.44
"Amelia County","2013-2014",434.40
"Amelia County","2014-2015",436.83
"Amelia County","2015-2016",444.12
"Amherst County","2011-2012",464.18
"Amherst County","2012-2013",420.58
"Amherst County","2013-2014",421.30
"Amherst County","2014-2015",427.25
"Amherst County","2015-2016",425.54
"Appomattox County","2011-2012",472.04
"Appomattox County","2012-2013",429.88
"Appomattox County","2013-2014",434.43
"Appomattox County","2014-2015",437.30
"Appomattox County","2015-2016",431.28
"Arlington County","2011-2012",481.27
"Arlington County","2012-2013",432.25
"Arlington County","2013-2014",436.72
"Arlington County","2014-2015",435.55
"Arlington County","2015-2016",437.15
"Augusta County","2011-2012",481.39
"Augusta County","2012-2013",429.38
"Augusta County","2013-2014",430.07
"Augusta County","2014-2015",427.40
"Augusta County","2015-2016",428.36
"Bath County","2011-2012",485.47
"Bath County","2012-2013",434.67
"Bath County","2013-2014",450.32
"Bath County","2014-2015",438.35
"Bath County","2015-2016",438.24
"Bedford County","2011-2012",474.57
"Bedford County","2012-2013",434.34
"Bedford County","2013-2014",430.11
"Bedford County","2014-2015",433.75
"Bedford County","2015-2016",433.39
"Bland County","2011-2012",486.12
"Bland County","2012-2013",438.47
"Bland County","2013-2014",443.75
"Bland County","2014-2015",440.68
"Bland County","2015-2016",442.96
"Botetourt County","2011-2012",485.42
"Botetourt County","2012-2013",434.50
"Botetourt County","2013-2014",427.69
"Botetourt County","2014-2015",438.99
"Botetourt County","2015-2016",435.96
"Bristol City","2011-2012",489.70
"Bristol City","2012-2013",432.23
"Bristol City","2013-2014",435.56
"Bristol City","2014-2015",435.54
"Bristol City","2015-2016",437.38
"Brunswick County","2011-2012",462.52
"Brunswick County","2012-2013",426.39
"Brunswick County","2013-2014",420.05
"Brunswick County","2014-2015",424.91
"Brunswick County","2015-2016",418.93
"Buchanan County","2011-2012",473.53
"Buchanan County","2012-2013",428.27
"Buchanan County","2013-2014",436.79
"Buchanan County","2014-2015",429.36
"Buchanan County","2015-2016",434.58
"Buckingham County","2011-2012",465.93
"Buckingham County","2012-2013",434.06
"Buckingham County","2013-2014",431.02
