"DIV_NAME","SCHOOL_YEAR","AvgOfAVG_SOL_SCALE_SCORE"
,"2011-2012",444.28
,"2012-2013",431.31
,"2013-2014",441.57
,"2014-2015",440.37
,"2015-2016",440.18
"Accomack County","2011-2012",454.30
"Accomack County","2012-2013",427.51
"Accomack County","2013-2014",449.65
"Accomack County","2014-2015",443.84
"Accomack County","2015-2016",440.25
"Albemarle County","2011-2012",464.55
"Albemarle County","2012-2013",442.96
"Albemarle County","2013-2014",450.71
"Albemarle County","2014-2015",446.92
"Albemarle County","2015-2016",445.65
"Alexandria City","2011-2012",447.43
"Alexandria City","2012-2013",430.58
"Alexandria City","2013-2014",448.27
"Alexandria City","2014-2015",445.82
"Alexandria City","2015-2016",448.73
"Alleghany County","2011-2012",450.42
"Alleghany County","2012-2013",432.68
"Alleghany County","2013-2014",445.13
"Alleghany County","2014-2015",453.09
"Alleghany County","2015-2016",457.30
"Amelia County","2011-2012",448.71
"Amelia County","2012-2013",443.41
"Amelia County","2013-2014",448.45
"Amelia County","2014-2015",450.16
"Amelia County","2015-2016",447.27
"Amherst County","2011-2012",439.53
"Amherst County","2012-2013",415.59
"Amherst County","2013-2014",441.40
"Amherst County","2014-2015",448.04
"Amherst County","2015-2016",444.97
"Appomattox County","2011-2012",456.07
"Appomattox County","2012-2013",443.09
"Appomattox County","2013-2014",463.54
"Appomattox County","2014-2015",454.08
"Appomattox County","2015-2016",449.96
"Arlington County","2011-2012",463.47
"Arlington County","2012-2013",434.26
"Arlington County","2013-2014",458.55
"Arlington County","2014-2015",460.34
"Arlington County","2015-2016",455.92
"Augusta County","2011-2012",466.03
"Augusta County","2012-2013",447.47
"Augusta County","2013-2014",458.51
"Augusta County","2014-2015",458.23
"Augusta County","2015-2016",459.54
"Bath County","2011-2012",453.22
"Bath County","2012-2013",438.91
"Bath County","2013-2014",453.17
"Bath County","2014-2015",440.44
"Bath County","2015-2016",451.19
"Bedford County","2011-2012",448.33
"Bedford County","2012-2013",430.26
"Bedford County","2013-2014",446.68
"Bedford County","2014-2015",448.58
"Bedford County","2015-2016",451.05
"Bland County","2011-2012",468.49
"Bland County","2012-2013",449.97
"Bland County","2013-2014",462.92
"Bland County","2014-2015",452.70
"Bland County","2015-2016",462.57
"Botetourt County","2011-2012",477.80
"Botetourt County","2012-2013",452.35
"Botetourt County","2013-2014",473.91
"Botetourt County","2014-2015",480.46
"Botetourt County","2015-2016",468.46
"Bristol City","2011-2012",463.36
"Bristol City","2012-2013",438.97
"Bristol City","2013-2014",453.54
"Bristol City","2014-2015",457.34
"Bristol City","2015-2016",452.15
"Brunswick County","2011-2012",438.67
"Brunswick County","2012-2013",428.31
"Brunswick County","2013-2014",432.81
"Brunswick County","2014-2015",444.32
"Brunswick County","2015-2016",435.25
"Buchanan County","2011-2012",444.64
"Buchanan County","2012-2013",432.26
"Buchanan County","2013-2014",444.44
"Buchanan County","2014-2015",447.22
"Buchanan County","2015-2016",450.04
"Buckingham County","2011-2012",459.64
"Buckingham County","2012-2013",430.91
"Buckingham County","2013-2014",455.00
"Buckingham County","2014-2015",448.35
"Buckingham County","2015-2016",451.76
"Buena Vista City","2011-2012",437.29
"Buena Vista City","2012-2013",446.23
"Buena Vista City","2013-2014",436.48
"Buena Vista City","2014-2015",430.94
"Buena Vista City","2015-2016",437.44
"Campbell County","2011-2012",448.96
"Campbell County","2012-2013",445.48
"Campbell County","2013-2014",449.52
"Campbell County","2014-2015",451.50
"Campbell County","2015-2016",448.02
"Caroline County","2011-2012",447.46
"Caroline County","2012-2013",434.15
"Caroline County","2013-2014",449.79
"Caroline County","2014-2015",445.85
"Caroline County","2015-2016",449.51
"Carroll County","2011-2012",450.20
"Carroll County","2012-2013",428.99
"Carroll County","2013-2014",455.49
"Carroll County","2014-2015",449.58
"Carroll County","2015-2016",449.84
"Charles City County","2011-2012",446.27
"Charles City County","2012-2013",417.38
"Charles City County","2013-2014",449.45
"Charles City County","2014-2015",454.09
"Charles City County","2015-2016",433.57
"Charlotte County","2011-2012",444.83
"Charlotte County","2012-2013",427.39
"Charlotte County","2013-2014",441.87
"Charlotte County","2014-2015",463.63
"Charlotte County","2015-2016",457.69
"Charlottesville City","2011-2012",467.04
"Charlottesville City","2012-2013",442.51
"Charlottesville City","2013-2014",458.47
"Charlottesville City","2014-2015",451.41
"Charlottesville City","2015-2016",453.77
"Chesapeake City","2011-2012",470.15
"Chesapeake City","2012-2013",452.90
"Chesapeake City","2013-2014",470.86
"Chesapeake City","2014-2015",467.02
"Chesapeake City","2015-2016",465.68
"Chesterfield County","2011-2012",457.10
"Chesterfield County","2012-2013",437.53
"Chesterfield County","2013-2014",451.28
"Chesterfield County","2014-2015",456.97
"Chesterfield County","2015-2016",454.14
"Clarke County","2011-2012",454.49
"Clarke County","2012-2013",428.74
"Clarke County","2013-2014",453.13
"Clarke County","2014-2015",440.76
"Clarke County","2015-2016",451.16
"Colonial Beach","2011-2012",464.61
"Colonial Beach","2012-2013",435.38
"Colonial Beach","2013-2014",437.51
"Colonial Beach","2014-2015",442.08
"Colonial Beach","2015-2016",450.27
"Colonial Heights City","2011-2012",465.58
"Colonial Heights City","2012-2013",432.54
"Colonial Heights City","2013-2014",463.36
"Colonial Heights City","2014-2015",463.45
"Colonial Heights City","2015-2016",463.20
"Covington City","2011-2012",440.60
"Covington City","2012-2013",430.41
"Covington City","2013-2014",447.84
"Covington City","2014-2015",451.74
"Covington City","2015-2016",446.02
"Craig County","2011-2012",445.54
"Craig County","2012-2013",433.98
"Craig County","2013-2014",446.08
"Craig County","2014-2015",445.84
"Craig County","2015-2016",455.94
"Culpeper County","2011-2012",441.61
"Culpeper County","2012-2013",425.93
"Culpeper County","2013-2014",447.56
"Culpeper County","2014-2015",446.31
"Culpeper County","2015-2016",448.58
"Cumberland County","2011-2012",452.22
"Cumberland County","2012-2013",438.92
"Cumberland County","2013-2014",454.12
"Cumberland County","2014-2015",444.57
"Cumberland County","2015-2016",449.80
"Danville City","2011-2012",453.64
"Danville City","2012-2013",443.09
"Danville City","2013-2014",448.02
