"DIV_NAME","SCHOOL_YEAR","AvgOfAVG_SOL_SCALE_SCORE"
,"2011-2012",414.22
,"2012-2013",416.04
,"2013-2014",422.91
,"2014-2015",426.76
,"2015-2016",427.54
"Accomack County","2011-2012",418.32
"Accomack County","2012-2013",427.60
"Accomack County","2013-2014",425.33
"Accomack County","2014-2015",426.14
"Accomack County","2015-2016",422.73
"Albemarle County","2011-2012",443.47
"Albemarle County","2012-2013",439.71
"Albemarle County","2013-2014",443.00
"Albemarle County","2014-2015",439.15
"Albemarle County","2015-2016",438.11
"Alexandria City","2011-2012",411.81
"Alexandria City","2012-2013",415.13
"Alexandria City","2013-2014",416.74
"Alexandria City","2014-2015",418.94
"Alexandria City","2015-2016",416.97
"Alleghany County","2011-2012",417.24
"Alleghany County","2012-2013",423.24
"Alleghany County","2013-2014",423.26
"Alleghany County","2014-2015",433.47
"Alleghany County","2015-2016",432.38
"Amelia County","2011-2012",421.77
"Amelia County","2012-2013",412.44
"Amelia County","2013-2014",417.11
"Amelia County","2014-2015",426.11
"Amelia County","2015-2016",434.60
"Amherst County","2011-2012",408.86
"Amherst County","2012-2013",409.65
"Amherst County","2013-2014",424.88
"Amherst County","2014-2015",427.18
"Amherst County","2015-2016",419.64
"Appomattox County","2011-2012",410.96
"Appomattox County","2012-2013",410.95
"Appomattox County","2013-2014",414.19
"Appomattox County","2014-2015",423.20
"Appomattox County","2015-2016",445.48
"Arlington County","2011-2012",437.82
"Arlington County","2012-2013",440.14
"Arlington County","2013-2014",441.36
"Arlington County","2014-2015",447.67
"Arlington County","2015-2016",443.06
"Augusta County","2011-2012",428.95
"Augusta County","2012-2013",434.60
"Augusta County","2013-2014",433.90
"Augusta County","2014-2015",438.51
"Augusta County","2015-2016",444.21
"Bath County","2011-2012",412.87
"Bath County","2012-2013",428.52
"Bath County","2013-2014",442.13
"Bath County","2014-2015",440.36
"Bath County","2015-2016",440.37
"Bedford County","2011-2012",405.35
"Bedford County","2012-2013",402.91
"Bedford County","2013-2014",419.22
"Bedford County","2014-2015",425.85
"Bedford County","2015-2016",428.14
"Bland County","2011-2012",408.87
"Bland County","2012-2013",418.62
"Bland County","2013-2014",426.45
"Bland County","2014-2015",434.71
"Bland County","2015-2016",453.69
"Botetourt County","2011-2012",428.12
"Botetourt County","2012-2013",427.01
"Botetourt County","2013-2014",439.34
