name,soq_2011,incentive_2011,catergorical_2011,lottery_2011,total_2011,soq_2012,incentive_2012,catergorical_2012,lottery_2012,total_2012,soq_2013,incentive_2013,catergorical_2013,lottery_2013,total_2013,soq_2014,incentive_2014,catergorical_2014,lottery_2014,total_2014
Accomack County,4551.49,161.93,11.24,593.13,5335.96,4502.39,148.15,9.48,649.05,5335.9,4518.18,155.62,10.39,646.49,5350.7,5020.48,118.99,10.71,691,5890.78
Albemarle County,2687.67,80.43,12.19,314.98,3102.49,2997.28,82.98,12.29,200.08,3306.12,2972.17,139.08,12.43,209.99,3347.51,3092.04,0.2,12.24,217.02,3350.9
Alexandria City,1994.76,58.27,112.65,259.89,2501.24,2129.99,57.19,115.66,243.78,2698.03,2086.44,50.5,116.68,258.97,2708.64,2199.97,7.95,119.16,262.22,2743
Alleghany County,5322.31,192.63,15.57,394.8,5964.89,5373.41,162.87,14.77,448.48,6042.31,5334.02,167.03,13.72,478.62,6046,5927.76,142.36,10.1,489.1,6598.09
Amelia County,4574.41,104.22,12.61,387.66,5115.07,4802.66,121.33,13,351.08,5289.57,4781.99,545.62,15.54,415.59,5758.75,5136.12,65.04,9.72,478.31,5691.95
Amherst County,5013.89,110.75,48.68,566.68,5743.84,4837.65,164.47,49.8,574.69,5630.03,4903.1,207.46,47.46,636.06,5797.03,5247.71,110.55,48.79,668.43,6080.16
Appomattox County,4965.13,118.94,14.05,521.51,5620.89,5083.9,122.96,18.01,468.51,5695.65,5058.94,215.78,13.38,488.68,5777.84,5108.76,82.13,15.21,552.74,5759.93
Arlington County,1968.47,52.98,9.04,200.74,2341.06,2069.77,54.84,7.58,190.04,2456.2,2048.12,80.42,8.05,197.34,2448.07,2130.78,35.64,7.56,189.83,2468.79
Augusta County,4325.6,149.03,11.22,309.42,4821.03,4267.63,147.97,7.17,369.79,4839.81,4269.77,202.24,7.84,375.81,4888.83,4578.4,111.38,7.97,421.98,5175.83
Bath County,2224.83,157.15,6.99,143.27,2532.25,2201.35,98.07,6.73,135.25,2442.78,2228.84,249.04,8.09,145.01,2644.24,2350.6,168.22,7.28,206,2738.99
Bedford County,3957.66,103.23,13.07,344.3,4437.23,4120.45,99,12.32,312.07,4548.85,4639.11,184.52,15.28,405.92,5254.23,5023.07,86.77,11.93,380.52,5508.27
Bland County,5177.29,232.98,11.35,178.63,5603.76,5417.71,231.06,8.36,291.36,5954.33,5457.79,328.04,11.64,306.87,6107.26,5375.58,186.24,17.47,278.07,5860.37
Botetourt County,4401.87,114.02,13.64,163.55,4698.52,4599.87,105.65,14.61,179.76,4905.43,4623.34,167.83,11.21,182.4,4988.89,4770.38,75.28,8.86,207.87,5066.5
Bristol City,4626.33,145.52,329.14,619.64,5773,4942.98,176.26,358.78,685.24,6226.41,4968,218.54,433.86,718.75,6456.77,5109.54,128.25,417.87,752.47,6507.94
Brunswick County,5385.79,91.07,14.8,968.15,6531.56,5590.09,181.59,13.37,1138.05,6990.63,5648.18,362.49,13.32,1227.54,7297.96,5994.96,91.66,28.63,1136.38,7292.84
Buchanan County,5088.93,149.35,19.03,437.63,5696.31,5028.21,128.52,19.93,484.84,5662.32,5040.45,175.46,26.66,499.81,5742.38,5123.09,0.64,25.67,519.75,5669.14
Buckingham County,5315.46,151.36,12.16,536.34,6030.15,5224.62,152.94,11.53,576.1,6003.6,5075.02,239.67,8.37,630.35,5989.26,5230.9,72.72,10.29,698.51,6050.83
Buena Vista City,5213.62,182.32,7.97,435.97,5895.94,5861.53,221.06,12.59,432.1,6558.77,5751.01,414.8,8.11,506.42,6766.8,6029.07,339.69,10.63,505.23,6946.08
Campbell County,4737.41,101.25,24.59,438.64,5302.19,4696.01,102.09,20.11,519.16,5340.24,4646.36,164.56,18.88,545.81,5377.36,4998.85,53.16,16.56,547.82,5617.86
Caroline County,4494.47,110.15,10.14,330.76,4947.96,4885.43,91.24,15.63,411.9,5457.98,4820.89,157.05,13.83,430.65,5422.98,5101.47,46.41,14.59,446.55,5609.03
Carroll County,4811.9,54.12,16.3,531.34,5494.9,4885.52,116.46,15.66,572.54,5637.16,4841.72,196.97,11.52,646.36,5765.03,5413.72,105.08,10.71,658.4,6262.92
Charles City County,4859.99,72.47,5.4,517.97,5458.88,4900.63,369.45,4.19,515.43,5789.7,4899.97,322.96,5.4,517.01,5745.34,5249.68,1.41,4.49,361.55,5617.13
Charlotte County,5280.93,400.72,544.23,825.03,7126.13,5650.72,394.92,1418.88,647.8,8168.07,5621.4,425.5,1546.13,583.99,8287.35,5879.05,184.12,1639.11,631.31,8393.96
Charlottesville City,2730.15,94.65,699.08,608.59,4134.27,2466.65,123.42,703.95,448.74,3939.23,2559.81,67.69,656.97,456.42,3967.37,2914.17,73.85,651.91,579.78,4327.71
Chesapeake City,4481.44,87.55,52.11,416.25,5039.22,4609.48,87.1,47.38,406.14,5155.8,4583.95,151.25,45.92,442.11,5227.23,4830.37,32.93,44.76,457.76,5371.82
Chesterfield County,4181.68,83.84,23.04,203.77,4498.6,4382.57,101.64,20.59,229,4744.6,4370.1,122.28,25.32,254.23,4782.16,4689.28,66.21,24.24,272.54,5065.73
Clarke County,3472.58,142.42,4.82,138.46,3764.35,3930.73,56.28,6.1,123.17,4127.12,3946.36,99.46,7.68,136.45,4199.11,4119.38,170.69,9.18,138.49,4507.07
Colonial Beach,4536.03,287.74,8.38,371.27,5203.43,5024.44,216.05,7.34,390.32,5642.34,5075.93,295.3,9.52,412.02,5792.77,5625.64,341.24,8.04,375.96,6361.2
Colonial Heights City,3872.56,104.07,11.89,292.24,4282.48,4176.65,103.18,13.89,229.37,4525.73,4158.42,156.64,17.91,263.03,4599.91,4373.68,89.66,16.83,267.46,4750.28
Covington City,4458.63,204.55,6.72,482.4,5157.6,4859.45,182.62,6.38,527.14,5583.75,5050.37,364.08,5.59,597.08,6027.83,5225.02,105.18,6.33,692.36,6031.39
Craig County,5167.56,189.63,11.68,411.55,5799.5,5267.09,64.76,10.54,374.57,5736.4,5167.67,411.26,8.22,514.72,6121.16,5852.39,170.07,12.16,604.67,6660.19
Culpeper County,3968.91,122.65,10.32,331.94,4436.32,4467.69,85.07,10.88,433.75,5000.6,4428.52,151.16,11.16,443.61,5036.82,4759.7,49.72,12.09,494.03,5317.83
